elapsed_ms,state,duty_pct,temp_tenths_c,rate_milli_c_per_s,peak_tenths_c,overshoot_tenths_c,fault
0,HEATING,25,278,0,278,0,0
1000,HEATING,25,283,0,292,0,0
2000,HEATING,25,289,0,292,0,0
3000,HEATING,25,287,0,292,0,0
4000,HEATING,25,276,0,292,0,0
5000,HEATING,25,285,0,292,0,0
6000,HEATING,25,287,0,293,0,0
7000,HEATING,25,286,0,293,0,0
8000,HEATING,25,273,0,293,0,0
9000,HEATING,25,292,0,296,0,0
10000,HEATING,25,287,90,300,0,0
11000,HEATING,25,295,90,300,0,0
12000,HEATING,25,296,90,300,0,0
13000,HEATING,25,297,90,306,0,0
14000,HEATING,25,305,90,306,0,0
15000,HEATING,25,302,90,311,0,0
16000,HEATING,25,307,90,317,0,0
17000,HEATING,25,305,90,317,0,0
18000,HEATING,25,304,90,317,0,0
19000,HEATING,25,309,90,319,0,0
20000,HEATING,25,316,290,319,0,0
21000,HEATING,25,312,290,319,0,0
22000,HEATING,25,326,290,337,0,0
23000,HEATING,25,332,290,337,0,0
24000,HEATING,25,332,290,337,0,0
25000,HEATING,25,336,290,341,0,0
26000,HEATING,25,335,290,351,0,0
27000,HEATING,25,345,290,351,0,0
28000,HEATING,25,344,290,351,0,0
29000,HEATING,25,358,290,358,0,0
30000,HEATING,25,354,380,358,0,0
31000,HEATING,25,356,380,359,0,0
32000,HEATING,25,356,380,366,0,0
33000,HEATING,25,360,380,366,0,0
34000,HEATING,25,367,380,371,0,0
35000,HEATING,25,371,380,380,0,0
36000,HEATING,25,376,380,390,0,0
37000,HEATING,25,382,380,390,0,0
38000,HEATING,25,392,380,392,0,0
39000,HEATING,25,392,380,407,0,0
40000,HEATING,25,390,360,407,0,0
41000,HEATING,25,395,360,407,0,0
42000,HEATING,25,400,360,407,0,0
43000,HEATING,25,402,360,407,0,0
44000,HEATING,25,412,360,413,0,0
45000,HEATING,25,416,360,416,0,0
46000,HEATING,25,416,360,424,0,0
47000,HEATING,25,426,360,439,0,0
48000,HEATING,25,430,360,439,0,0
49000,HEATING,25,435,360,442,0,0
50000,HEATING,25,443,530,443,0,0
51000,HEATING,25,444,530,444,0,0
52000,HEATING,25,450,530,450,0,0
53000,HEATING,25,453,530,454,0,0
54000,HEATING,25,461,530,461,0,0
55000,HEATING,25,459,530,462,0,0
56000,HEATING,25,472,530,472,0,0
57000,HEATING,25,475,530,475,0,0
58000,HEATING,25,479,530,479,0,0
59000,HEATING,25,483,530,483,0,0
60000,HEATING,25,484,410,489,0,0
61000,HEATING,25,491,410,500,0,0
62000,HEATING,25,499,410,500,0,0
63000,HEATING,25,503,410,505,0,0
64000,HEATING,25,507,410,507,0,0
65000,HEATING,25,514,410,514,0,0
66000,HEATING,25,518,410,518,0,0
67000,HEATING,25,523,410,524,0,0
68000,HEATING,25,529,410,530,0,0
69000,HEATING,25,536,410,536,0,0
70000,HEATING,25,542,580,542,0,0
71000,HEATING,25,547,580,547,0,0
72000,HEATING,25,551,580,557,0,0
73000,HEATING,25,559,580,559,0,0
74000,HEATING,25,560,580,563,0,0
75000,HEATING,25,567,580,567,0,0
76000,HEATING,25,572,580,572,0,0
77000,HEATING,25,577,580,579,0,0
78000,HEATING,25,585,580,585,0,0
79000,HEATING,25,592,580,594,0,0
80000,HEATING,25,594,520,597,0,0
81000,HEATING,25,602,520,602,0,0
82000,HEATING,25,609,520,611,0,0
83000,HEATING,25,615,520,615,0,0
84000,HEATING,25,619,520,621,0,0
85000,HEATING,25,623,520,626,0,0
86000,HEATING,25,631,520,632,0,0
87000,HEATING,25,637,520,639,0,0
88000,HEATING,25,644,520,644,0,0
89000,HEATING,25,650,520,652,0,0
90000,HEATING,25,655,610,660,0,0
