elapsed_ms,state,duty_pct,temp_tenths_c,rate_milli_c_per_s,peak_tenths_c,overshoot_tenths_c,fault
0,HEATING,100,309,0,309,0,0
1000,HEATING,100,303,0,315,0,0
2000,HEATING,100,303,0,316,0,0
3000,HEATING,100,289,0,320,0,0
4000,HEATING,100,311,0,320,0,0
5000,HEATING,100,304,0,322,0,0
6000,HEATING,100,325,0,325,0,0
7000,HEATING,100,319,0,328,0,0
8000,HEATING,100,320,0,336,0,0
9000,HEATING,100,329,0,348,0,0
10000,HEATING,100,337,280,348,0,0
11000,HEATING,100,346,280,358,0,0
12000,HEATING,100,378,280,378,0,0
13000,HEATING,100,384,280,384,0,0
14000,HEATING,100,406,280,406,0,0
15000,HEATING,100,413,280,427,0,0
16000,HEATING,100,442,280,442,0,0
17000,HEATING,100,471,280,471,0,0
18000,HEATING,100,514,280,514,0,0
19000,HEATING,100,538,280,538,0,0
20000,HEATING,100,569,2320,569,0,0
21000,HEATING,100,613,2320,613,0,0
22000,HEATING,100,657,2320,657,0,0
23000,HEATING,100,710,2320,710,0,0
24000,HEATING,100,756,2320,756,0,0
25000,HEATING,100,815,2320,815,0,0
26000,HEATING,100,864,2320,864,0,0
27000,HEATING,100,916,2320,916,0,0
28000,HEATING,100,968,2320,968,0,0
29000,HEATING,100,1020,2320,1020,0,0
30000,HEATING,100,1069,5000,1069,0,0
30700,COOLING,100,1102,5000,1102,2,0
31700,COOLING,100,1151,5000,1151,51,0
32700,COOLING,100,1195,5000,1195,95,0
33700,COOLING,100,1238,5000,1238,138,0
34700,COOLING,100,1277,5000,1277,177,0
35700,COOLING,100,1310,5000,1310,210,0
36700,COOLING,100,1342,5000,1342,242,0
37700,COOLING,100,1370,5000,1370,270,0
38700,COOLING,100,1394,5000,1394,294,0
39700,COOLING,100,1415,5000,1415,315,0
40700,COOLING,100,1431,3290,1431,331,0
41700,COOLING,100,1447,3290,1447,347,0
42700,COOLING,100,1457,3290,1457,357,0
43700,COOLING,100,1468,3290,1468,368,0
44700,COOLING,100,1475,3290,1475,375,0
45700,COOLING,100,1481,3290,1481,381,0
46700,COOLING,100,1486,3290,1486,386,0
47700,COOLING,100,1489,3290,1489,389,0
48700,COOLING,100,1491,3290,1492,392,0
49700,COOLING,100,1493,3290,1494,394,0
50700,COOLING,100,1494,630,1494,394,0
51700,COOLING,100,1494,630,1496,396,0
52700,COOLING,100,1493,630,1496,396,0
53700,COOLING,100,1492,630,1496,396,0
54700,COOLING,100,1490,630,1496,396,0
55700,COOLING,100,1489,630,1496,396,0
56700,COOLING,100,1487,630,1496,396,0
57700,COOLING,100,1486,630,1496,396,0
58700,COOLING,100,1483,630,1496,396,0
59700,COOLING,100,1480,630,1496,396,0
60700,COOLING,100,1477,-170,1496,396,0
61700,COOLING,100,1473,-170,1496,396,0
62700,COOLING,100,1470,-170,1496,396,0
63700,COOLING,100,1468,-170,1496,396,0
64700,COOLING,100,1463,-170,1496,396,0
65700,COOLING,100,1459,-170,1496,396,0
66700,COOLING,100,1454,-170,1496,396,0
67700,COOLING,100,1449,-170,1496,396,0
68700,COOLING,100,1441,-170,1496,396,0
69700,COOLING,100,1437,-170,1496,396,0
70700,COOLING,100,1430,-470,1496,396,0
71700,COOLING,100,1424,-470,1496,396,0
72700,COOLING,100,1416,-470,1496,396,0
73700,COOLING,100,1409,-470,1496,396,0
74700,COOLING,100,1402,-470,1496,396,0
75700,COOLING,100,1394,-470,1496,396,0
76700,COOLING,100,1386,-470,1496,396,0
77700,COOLING,100,1380,-470,1496,396,0
78700,COOLING,100,1371,-470,1496,396,0
79700,COOLING,100,1364,-470,1496,396,0
80700,COOLING,100,1357,-730,1496,396,0
81700,COOLING,100,1348,-730,1496,396,0
82700,COOLING,100,1341,-730,1496,396,0
83700,COOLING,100,1332,-730,1496,396,0
84700,COOLING,100,1324,-730,1496,396,0
85700,COOLING,100,1318,-730,1496,396,0
86700,COOLING,100,1310,-730,1496,396,0
87700,COOLING,100,1303,-730,1496,396,0
88700,COOLING,100,1295,-730,1496,396,0
89700,COOLING,100,1288,-730,1496,396,0
90700,COOLING,100,1280,-770,1496,396,0
91700,COOLING,100,1274,-770,1496,396,0
92700,COOLING,100,1267,-770,1496,396,0
93700,COOLING,100,1259,-770,1496,396,0
94700,COOLING,100,1251,-770,1496,396,0
95700,COOLING,100,1244,-770,1496,396,0
96700,COOLING,100,1237,-770,1496,396,0
97700,COOLING,100,1230,-770,1496,396,0
98700,COOLING,100,1224,-770,1496,396,0
99700,COOLING,100,1216,-770,1496,396,0
100700,COOLING,100,1208,-720,1496,396,0
101700,COOLING,100,1202,-720,1496,396,0
102700,COOLING,100,1195,-720,1496,396,0
103700,COOLING,100,1188,-720,1496,396,0
104700,COOLING,100,1182,-720,1496,396,0
105700,COOLING,100,1175,-720,1496,396,0
106700,COOLING,100,1169,-720,1496,396,0
107700,COOLING,100,1162,-720,1496,396,0
108700,COOLING,100,1156,-720,1496,396,0
109700,COOLING,100,1149,-720,1496,396,0
110700,COOLING,100,1142,-660,1496,396,0
111700,COOLING,100,1135,-660,1496,396,0
112700,COOLING,100,1130,-660,1496,396,0
113700,COOLING,100,1121,-660,1496,396,0
114700,COOLING,100,1115,-660,1496,396,0
115700,COOLING,100,1108,-660,1496,396,0
116700,COOLING,100,1104,-660,1496,396,0
117700,COOLING,100,1096,-660,1496,396,0
118700,COOLING,100,1090,-660,1496,396,0
119700,COOLING,100,1085,-660,1496,396,0
120700,COOLING,100,1079,-630,1496,396,0
121700,COOLING,100,1072,-630,1496,396,0
122700,COOLING,100,1068,-630,1496,396,0
123700,COOLING,100,1060,-630,1496,396,0
124700,COOLING,100,1056,-630,1496,396,0
125700,COOLING,100,1048,-630,1496,396,0
126700,COOLING,100,1043,-630,1496,396,0
127700,COOLING,100,1037,-630,1496,396,0
128700,COOLING,100,1032,-630,1496,396,0
129700,COOLING,100,1026,-630,1496,396,0
130700,COOLING,100,1020,-590,1496,396,0
