elapsed_ms,state,duty_pct,temp_tenths_c,rate_milli_c_per_s,peak_tenths_c,overshoot_tenths_c,fault
0,HEATING,50,282,0,282,0,0
1000,HEATING,50,281,0,291,0,0
2000,HEATING,50,288,0,291,0,0
3000,HEATING,50,290,0,292,0,0
4000,HEATING,50,286,0,310,0,0
5000,HEATING,50,288,0,310,0,0
6000,HEATING,50,277,0,310,0,0
7000,HEATING,50,284,0,310,0,0
8000,HEATING,50,295,0,310,0,0
9000,HEATING,50,294,0,310,0,0
10000,HEATING,50,301,190,310,0,0
11000,HEATING,50,305,190,316,0,0
12000,HEATING,50,301,190,316,0,0
13000,HEATING,50,307,190,329,0,0
14000,HEATING,50,312,190,329,0,0
15000,HEATING,50,321,190,334,0,0
16000,HEATING,50,329,190,348,0,0
17000,HEATING,50,340,190,353,0,0
18000,HEATING,50,346,190,353,0,0
19000,HEATING,50,356,190,356,0,0
20000,HEATING,50,359,580,364,0,0
21000,HEATING,50,370,580,374,0,0
22000,HEATING,50,377,580,379,0,0
23000,HEATING,50,388,580,390,0,0
24000,HEATING,50,399,580,399,0,0
25000,HEATING,50,411,580,411,0,0
26000,HEATING,50,418,580,435,0,0
27000,HEATING,50,431,580,435,0,0
28000,HEATING,50,440,580,448,0,0
29000,HEATING,50,456,580,456,0,0
30000,HEATING,50,465,1060,468,0,0
31000,HEATING,50,479,1060,481,0,0
32000,HEATING,50,490,1060,491,0,0
33000,HEATING,50,505,1060,505,0,0
34000,HEATING,50,521,1060,521,0,0
35000,HEATING,50,532,1060,533,0,0
36000,HEATING,50,553,1060,553,0,0
37000,HEATING,50,565,1060,565,0,0
38000,HEATING,50,582,1060,582,0,0
39000,HEATING,50,596,1060,596,0,0
40000,HEATING,50,612,1470,612,0,0
41000,HEATING,50,629,1470,629,0,0
42000,HEATING,50,647,1470,647,0,0
43000,HEATING,50,665,1470,665,0,0
44000,HEATING,50,685,1470,685,0,0
45000,HEATING,50,707,1470,707,0,0
46000,HEATING,50,727,1470,727,0,0
47000,HEATING,50,748,1470,748,0,0
48000,HEATING,50,772,1470,772,0,0
49000,HEATING,50,796,1470,796,0,0
50000,HEATING,50,821,2090,821,0,0
51000,HEATING,50,850,2090,850,0,0
52000,HEATING,50,878,2090,878,0,0
53000,HEATING,50,906,2090,906,0,0
54000,HEATING,50,936,2090,936,0,0
55000,HEATING,50,965,2090,965,0,0
56000,HEATING,50,999,2090,999,0,0
57000,HEATING,50,1032,2090,1032,0,0
58000,HEATING,50,1066,2090,1066,0,0
59000,COOLING,50,1100,2090,1100,0,0
60000,COOLING,50,1137,2090,1137,37,0
61000,COOLING,50,1168,2090,1168,68,0
62000,COOLING,50,1201,2090,1201,101,0
63000,COOLING,50,1234,2090,1234,134,0
64000,COOLING,50,1264,2090,1264,164,0
65000,COOLING,50,1286,2090,1286,186,0
66000,COOLING,50,1307,2090,1307,207,0
67000,COOLING,50,1327,2090,1327,227,0
68000,COOLING,50,1340,2090,1341,241,0
69000,COOLING,50,1354,2540,1354,254,0
70000,COOLING,50,1364,2540,1364,264,0
71000,COOLING,50,1372,2540,1372,272,0
72000,COOLING,50,1378,2540,1378,278,0
73000,COOLING,50,1382,2540,1382,282,0
74000,COOLING,50,1385,2540,1385,285,0
75000,COOLING,50,1385,2540,1386,286,0
76000,COOLING,50,1386,2540,1387,287,0
77000,COOLING,50,1385,2540,1387,287,0
78000,COOLING,50,1383,2540,1387,287,0
79000,COOLING,50,1382,280,1387,287,0
80000,COOLING,50,1378,280,1387,287,0
81000,COOLING,50,1374,280,1387,287,0
82000,COOLING,50,1371,280,1387,287,0
83000,COOLING,50,1365,280,1387,287,0
84000,COOLING,50,1362,280,1387,287,0
85000,COOLING,50,1357,280,1387,287,0
86000,COOLING,50,1352,280,1387,287,0
87000,COOLING,50,1346,280,1387,287,0
88000,COOLING,50,1341,280,1387,287,0
89000,COOLING,50,1336,-460,1387,287,0
90000,COOLING,50,1330,-460,1387,287,0
91000,COOLING,50,1324,-460,1387,287,0
92000,COOLING,50,1319,-460,1387,287,0
93000,COOLING,50,1312,-460,1387,287,0
94000,COOLING,50,1306,-460,1387,287,0
95000,COOLING,50,1301,-460,1387,287,0
96000,COOLING,50,1295,-460,1387,287,0
97000,COOLING,50,1289,-460,1387,287,0
98000,COOLING,50,1283,-460,1387,287,0
99000,COOLING,50,1276,-600,1387,287,0
100000,COOLING,50,1270,-600,1387,287,0
101000,COOLING,50,1264,-600,1387,287,0
102000,COOLING,50,1258,-600,1387,287,0
103000,COOLING,50,1251,-600,1387,287,0
104000,COOLING,50,1247,-600,1387,287,0
105000,COOLING,50,1240,-600,1387,287,0
106000,COOLING,50,1234,-600,1387,287,0
107000,COOLING,50,1229,-600,1387,287,0
108000,COOLING,50,1223,-600,1387,287,0
109000,COOLING,50,1215,-610,1387,287,0
110000,COOLING,50,1210,-610,1387,287,0
111000,COOLING,50,1203,-610,1387,287,0
112000,COOLING,50,1196,-610,1387,287,0
113000,COOLING,50,1190,-610,1387,287,0
114000,COOLING,50,1183,-610,1387,287,0
115000,COOLING,50,1176,-610,1387,287,0
116000,COOLING,50,1169,-610,1387,287,0
117000,COOLING,50,1163,-610,1387,287,0
118000,COOLING,50,1157,-610,1387,287,0
119000,COOLING,50,1150,-650,1387,287,0
120000,COOLING,50,1143,-650,1387,287,0
121000,COOLING,50,1136,-650,1387,287,0
122000,COOLING,50,1131,-650,1387,287,0
123000,COOLING,50,1123,-650,1387,287,0
124000,COOLING,50,1117,-650,1387,287,0
125000,COOLING,50,1110,-650,1387,287,0
126000,COOLING,50,1104,-650,1387,287,0
127000,COOLING,50,1097,-650,1387,287,0
128000,COOLING,50,1090,-650,1387,287,0
129000,COOLING,50,1085,-650,1387,287,0
130000,COOLING,50,1078,-650,1387,287,0
131000,COOLING,50,1072,-650,1387,287,0
132000,COOLING,50,1066,-650,1387,287,0
133000,COOLING,50,1061,-650,1387,287,0
134000,COOLING,50,1054,-650,1387,287,0
135000,COOLING,50,1048,-650,1387,287,0
136000,COOLING,50,1042,-650,1387,287,0
137000,COOLING,50,1036,-650,1387,287,0
138000,COOLING,50,1031,-650,1387,287,0
139000,COOLING,50,1025,-600,1387,287,0
140000,COOLING,50,1019,-600,1387,287,0
141000,COOLING,50,1015,-600,1387,287,0
142000,COOLING,50,1009,-600,1387,287,0
143000,COOLING,50,1003,-600,1387,287,0
144000,COOLING,50,996,-600,1387,287,0
145000,COOLING,50,991,-600,1387,287,0
146000,COOLING,50,986,-600,1387,287,0
147000,COOLING,50,981,-600,1387,287,0
148000,COOLING,50,975,-600,1387,287,0
149000,COOLING,50,970,-550,1387,287,0
150000,COOLING,50,963,-550,1387,287,0
151000,COOLING,50,959,-550,1387,287,0
152000,COOLING,50,955,-550,1387,287,0
153000,COOLING,50,949,-550,1387,287,0
154000,COOLING,50,944,-550,1387,287,0
155000,COOLING,50,939,-550,1387,287,0
156000,COOLING,50,933,-550,1387,287,0
157000,COOLING,50,929,-550,1387,287,0
158000,COOLING,50,923,-550,1387,287,0
159000,COOLING,50,920,-500,1387,287,0
160000,COOLING,50,915,-500,1387,287,0
161000,COOLING,50,910,-500,1387,287,0
162000,COOLING,50,906,-500,1387,287,0
163000,COOLING,50,900,-500,1387,287,0
164000,COOLING,50,897,-500,1387,287,0
165000,COOLING,50,891,-500,1387,287,0
166000,COOLING,50,886,-500,1387,287,0
167000,COOLING,50,882,-500,1387,287,0
168000,COOLING,50,879,-500,1387,287,0
169000,COOLING,50,874,-460,1387,287,0
170000,COOLING,50,869,-460,1387,287,0
171000,COOLING,50,864,-460,1387,287,0
172000,COOLING,50,861,-460,1387,287,0
173000,COOLING,50,857,-460,1387,287,0
174000,COOLING,50,853,-460,1387,287,0
175000,COOLING,50,847,-460,1387,287,0
176000,COOLING,50,845,-460,1387,287,0
177000,COOLING,50,839,-460,1387,287,0
178000,COOLING,50,837,-460,1387,287,0
179000,COOLING,50,832,-420,1387,287,0
180000,COOLING,50,828,-420,1387,287,0
181000,COOLING,50,823,-420,1387,287,0
182000,COOLING,50,818,-420,1387,287,0
183000,COOLING,50,814,-420,1387,287,0
184000,COOLING,50,811,-420,1387,287,0
185000,COOLING,50,807,-420,1387,287,0
186000,COOLING,50,803,-420,1387,287,0
187000,COOLING,50,800,-420,1387,287,0
188000,COOLING,50,795,-420,1387,287,0
189000,COOLING,50,794,-380,1387,287,0
190000,COOLING,50,787,-380,1387,287,0
191000,COOLING,50,785,-380,1387,287,0
192000,COOLING,50,780,-380,1387,287,0
193000,COOLING,50,779,-380,1387,287,0
194000,COOLING,50,773,-380,1387,287,0
195000,COOLING,50,768,-380,1387,287,0
196000,COOLING,50,767,-380,1387,287,0
197000,COOLING,50,764,-380,1387,287,0
198000,COOLING,50,757,-380,1387,287,0
199000,COOLING,50,757,-370,1387,287,0
200000,COOLING,50,753,-370,1387,287,0
201000,COOLING,50,749,-370,1387,287,0
202000,COOLING,50,745,-370,1387,287,0
203000,COOLING,50,741,-370,1387,287,0
204000,COOLING,50,738,-370,1387,287,0
205000,COOLING,50,734,-370,1387,287,0
206000,COOLING,50,731,-370,1387,287,0
207000,COOLING,50,729,-370,1387,287,0
208000,COOLING,50,727,-370,1387,287,0
209000,COOLING,50,722,-350,1387,287,0
210000,COOLING,50,721,-350,1387,287,0
211000,COOLING,50,714,-350,1387,287,0
212000,COOLING,50,715,-350,1387,287,0
213000,COOLING,50,710,-350,1387,287,0
214000,COOLING,50,705,-350,1387,287,0
215000,COOLING,50,705,-350,1387,287,0
216000,COOLING,50,700,-350,1387,287,0
217000,COOLING,50,700,-350,1387,287,0
218000,COOLING,50,694,-350,1387,287,0
219000,COOLING,50,692,-300,1387,287,0
220000,COOLING,50,691,-300,1387,287,0
221000,COOLING,50,687,-300,1387,287,0
222000,COOLING,50,685,-300,1387,287,0
223000,COOLING,50,681,-300,1387,287,0
224000,COOLING,50,676,-300,1387,287,0
225000,COOLING,50,675,-300,1387,287,0
226000,COOLING,50,671,-300,1387,287,0
227000,COOLING,50,670,-300,1387,287,0
228000,COOLING,50,665,-300,1387,287,0
229000,COOLING,50,666,-260,1387,287,0
230000,COOLING,50,661,-260,1387,287,0
231000,COOLING,50,658,-260,1387,287,0
232000,COOLING,50,654,-260,1387,287,0
233000,COOLING,50,652,-260,1387,287,0
234000,COOLING,50,652,-260,1387,287,0
235000,COOLING,50,645,-260,1387,287,0
236000,COOLING,50,644,-260,1387,287,0
237000,COOLING,50,642,-260,1387,287,0
